QTask_ID,Status,QDCenter,QNode_ID,Execution_Time,Start_Time,Finish_Time,No_Qubits,Application
165,SUCCESS,2,1,1225.3,48834.9,50060.2,27,ae
151,SUCCESS,2,0,950.22,49159.17,50109.39,27,qnn
166,SUCCESS,2,1,459.28,50060.2,50519.48,27,pricingcall
153,SUCCESS,2,0,741.32,50109.39,50850.71,27,su2random
167,SUCCESS,2,1,572.43,50519.48,51091.91,27,random
168,SUCCESS,2,1,504.58,51091.91,51596.49,27,su2random
172,SUCCESS,2,1,958.91,51596.49,52555.4,27,portfolioqaoa
174,SUCCESS,2,1,502.75,52555.4,53058.15,27,twolocalrandom
176,SUCCESS,2,1,1052.1,53058.15,54110.25,27,qpeexact
179,SUCCESS,2,1,386.82,54110.25,54497.07,27,qpeinexact
180,SUCCESS,2,1,462.63,54497.07,54959.7,27,qnn
154,SUCCESS,2,0,4120.11,50850.71,54970.82,27,qwalk-v-chain
182,SUCCESS,2,1,12.84,54959.7,54972.54,27,routing
155,SUCCESS,2,0,28.85,54970.82,54999.67,27,ghz
158,SUCCESS,2,0,213.4,54999.67,55213.07,27,realamprandom
161,SUCCESS,2,0,442.51,55213.07,55655.58,27,qft
162,SUCCESS,2,0,23.29,55655.58,55678.87,27,graphstate
163,SUCCESS,2,0,143.47,55678.87,55822.34,27,wstate
185,SUCCESS,2,1,1238.87,54972.54,56211.41,27,realamprandom
187,SUCCESS,2,1,166.82,56211.41,56378.23,27,pricingput
164,SUCCESS,2,0,723.37,55822.34,56545.71,27,twolocalrandom
169,SUCCESS,2,0,17.05,56545.71,56562.76,27,graphstate
170,SUCCESS,2,0,28.22,56562.76,56590.98,27,qaoa
171,SUCCESS,2,0,587.27,56590.98,57178.25,27,qft
173,SUCCESS,2,0,531.55,57178.25,57709.8,27,ae
175,SUCCESS,2,0,62.59,57709.8,57772.39,27,wstate
177,SUCCESS,2,0,38.43,57772.39,57810.82,27,ghz
188,SUCCESS,2,1,1911.98,56378.23,58290.21,27,realamprandom
191,SUCCESS,2,1,29.39,58290.21,58319.6,27,vqe
193,SUCCESS,2,1,114.81,58319.6,58434.41,27,qpeinexact
194,SUCCESS,2,1,25.32,58434.41,58459.73,27,ghz
178,SUCCESS,2,0,917.96,57810.82,58728.78,27,su2random
181,SUCCESS,2,0,23.85,58728.78,58752.63,27,vqe
183,SUCCESS,2,0,65.37,58752.63,58818,27,dj
196,SUCCESS,2,1,562.98,58459.73,59022.71,27,ae
184,SUCCESS,2,0,349.51,58818,59167.51,27,qftentangled
197,SUCCESS,2,1,318.68,59022.71,59341.39,27,twolocalrandom
186,SUCCESS,2,0,341.06,59167.51,59508.57,27,qftentangled
189,SUCCESS,2,0,127.47,59508.57,59636.04,27,dj
190,SUCCESS,2,0,495.06,59636.04,60131.1,27,qnn
192,SUCCESS,2,0,424.53,60131.1,60555.63,27,su2random
199,SUCCESS,2,1,1414.8,59341.39,60756.19,27,pricingput
195,SUCCESS,2,0,457.99,60555.63,61013.62,27,qpeexact
198,SUCCESS,2,0,22.82,61013.62,61036.44,27,wstate
202,SUCCESS,2,1,362.41,60756.19,61118.6,27,random
204,SUCCESS,2,1,26.35,61118.6,61144.95,27,graphstate
205,SUCCESS,2,1,201.45,61144.95,61346.4,27,wstate
200,SUCCESS,2,0,723.57,61036.44,61760.01,27,portfolioqaoa
206,SUCCESS,2,1,557.36,61346.4,61903.76,27,pricingput
201,SUCCESS,2,0,290.98,61760.01,62050.99,27,qft
203,SUCCESS,2,0,531.39,62050.99,62582.38,27,su2random
209,SUCCESS,2,0,58.23,62582.38,62640.61,27,graphstate
213,SUCCESS,2,0,218.42,62640.61,62859.03,27,qftentangled
207,SUCCESS,2,1,998.43,61903.76,62902.19,27,twolocalrandom
208,SUCCESS,2,1,596.38,62902.19,63498.57,27,ae
214,SUCCESS,2,0,762.76,62859.03,63621.79,27,qpeexact
215,SUCCESS,2,0,23.9,63621.79,63645.69,27,ghz
210,SUCCESS,2,1,529.96,63498.57,64028.53,27,qft
211,SUCCESS,2,1,78.63,64028.53,64107.16,27,dj
216,SUCCESS,2,0,598.48,63645.69,64244.17,27,qpeinexact
219,SUCCESS,2,0,16.89,64244.17,64261.06,27,graphstate
212,SUCCESS,2,1,451.51,64107.16,64558.67,27,realamprandom
217,SUCCESS,2,1,668.64,64558.67,65227.31,27,su2random
224,SUCCESS,2,0,1148.58,64261.06,65409.64,27,realamprandom
218,SUCCESS,2,1,704.17,65227.31,65931.48,27,qnn
225,SUCCESS,2,0,573.02,65409.64,65982.66,27,ae
228,SUCCESS,2,0,407.24,65982.66,66389.9,27,twolocalrandom
229,SUCCESS,2,0,896.89,66389.9,67286.79,27,qpeexact
220,SUCCESS,2,1,1439.86,65931.48,67371.34,27,random
221,SUCCESS,2,1,45.18,67371.34,67416.52,27,qaoa
231,SUCCESS,2,0,711.02,67286.79,67997.81,27,su2random
222,SUCCESS,2,1,1051.01,67416.52,68467.53,27,qft
232,SUCCESS,2,0,490.13,67997.81,68487.94,27,qpeinexact
233,SUCCESS,2,0,19.06,68487.94,68507,27,vqe
236,SUCCESS,2,0,692.62,68507,69199.62,27,qftentangled
237,SUCCESS,2,0,882.89,69199.62,70082.51,27,realamprandom
239,SUCCESS,2,0,441.44,70082.51,70523.95,27,qpeinexact
240,SUCCESS,2,0,269.03,70523.95,70792.98,27,su2random
242,SUCCESS,2,0,249.66,70792.98,71042.64,27,qpeexact
244,SUCCESS,2,0,526.13,71042.64,71568.77,27,realamprandom
245,SUCCESS,2,0,241.87,71568.77,71810.64,27,twolocalrandom
246,SUCCESS,2,0,148.93,71810.64,71959.57,27,qftentangled
247,SUCCESS,2,0,49.55,71959.57,72009.12,27,wstate
223,SUCCESS,2,1,4540.67,68467.53,73008.2,27,pricingcall
226,SUCCESS,2,1,84.95,73008.2,73093.15,27,wstate
252,SUCCESS,2,0,1120.1,72009.12,73129.22,27,twolocalrandom
253,SUCCESS,2,0,302.25,73129.22,73431.47,27,portfoliovqe
254,SUCCESS,2,0,163.3,73431.47,73594.77,27,wstate
227,SUCCESS,2,1,616.63,73093.15,73709.78,27,qftentangled
230,SUCCESS,2,1,131.34,73709.78,73841.12,27,ghz
257,SUCCESS,2,0,776.03,73594.77,74370.8,27,twolocalrandom
234,SUCCESS,2,1,795.95,73841.12,74637.07,27,qnn
235,SUCCESS,2,1,132.97,74637.07,74770.04,27,dj
238,SUCCESS,2,1,429.44,74770.04,75199.48,27,qnn
241,SUCCESS,2,1,16.87,75199.48,75216.35,27,ghz
258,SUCCESS,2,0,907.45,74370.8,75278.25,27,portfoliovqe
259,SUCCESS,2,0,68.99,75278.25,75347.24,27,wstate
243,SUCCESS,2,1,516.68,75216.35,75733.03,27,ae
248,SUCCESS,2,1,55.86,75733.03,75788.89,27,dj
249,SUCCESS,2,1,261.6,75788.89,76050.49,27,qft
266,SUCCESS,2,0,856.26,75347.24,76203.5,27,ae
267,SUCCESS,2,0,476.14,76203.5,76679.64,27,realamprandom
250,SUCCESS,2,1,1493.82,76050.49,77544.31,27,random
251,SUCCESS,2,1,21.54,77544.31,77565.85,27,graphstate
268,SUCCESS,2,0,1107.79,76679.64,77787.43,27,twolocalrandom
271,SUCCESS,2,0,155.02,77787.43,77942.45,27,qpeexact
255,SUCCESS,2,1,623.16,77565.85,78189.01,27,ae
274,SUCCESS,2,0,453.48,77942.45,78395.93,27,su2random
276,SUCCESS,2,0,521.18,78395.93,78917.11,27,qftentangled
278,SUCCESS,2,0,145,78917.11,79062.11,27,dj
281,SUCCESS,2,0,586.95,79062.11,79649.06,27,qnn
287,SUCCESS,2,0,545,79649.06,80194.06,27,ae
288,SUCCESS,2,0,91.85,80194.06,80285.91,27,wstate
289,SUCCESS,2,0,504.13,80285.91,80790.04,27,qftentangled
290,SUCCESS,2,0,682.06,80790.04,81472.1,27,twolocalrandom
256,SUCCESS,2,1,3538.56,78189.01,81727.57,27,pricingcall
260,SUCCESS,2,1,737.96,81727.57,82465.53,27,ae
261,SUCCESS,2,1,870.06,82465.53,83335.59,27,random
262,SUCCESS,2,1,33.65,83335.59,83369.24,27,graphstate
263,SUCCESS,2,1,124.29,83369.24,83493.53,27,qft
264,SUCCESS,2,1,60.14,83493.53,83553.67,27,dj
291,SUCCESS,2,0,2334.23,81472.1,83806.33,27,pricingput
295,SUCCESS,2,0,368.44,83806.33,84174.77,27,pricingcall
265,SUCCESS,2,1,2668.42,83553.67,86222.09,27,pricingput
269,SUCCESS,2,1,233.73,86222.09,86455.82,27,qftentangled
270,SUCCESS,2,1,124.17,86455.82,86579.99,27,wstate
272,SUCCESS,2,1,15.95,86579.99,86595.94,27,ghz
273,SUCCESS,2,1,693.27,86595.94,87289.21,27,qpeinexact
275,SUCCESS,2,1,402.76,87289.21,87691.97,27,qnn
277,SUCCESS,2,1,723.34,87691.97,88415.31,27,realamprandom
279,SUCCESS,2,1,567.42,88415.31,88982.73,27,groundstate
280,SUCCESS,2,1,14.24,88982.73,88996.97,27,vqe
282,SUCCESS,2,1,1728.13,88996.97,90725.1,27,su2random
283,SUCCESS,2,1,570.97,90725.1,91296.07,27,qpeinexact
284,SUCCESS,2,1,82.15,91296.07,91378.22,27,ghz
285,SUCCESS,2,1,907.61,91378.22,92285.83,27,qpeexact
286,SUCCESS,2,1,709.32,92285.83,92995.15,27,realamprandom
292,SUCCESS,2,1,571.31,92995.15,93566.46,27,portfolioqaoa
293,SUCCESS,2,1,871.38,93566.46,94437.84,27,qft
294,SUCCESS,2,1,28.6,94437.84,94466.44,27,qaoa
296,SUCCESS,2,1,14.39,94466.44,94480.83,27,graphstate
297,SUCCESS,2,1,1810.23,94480.83,96291.06,27,random
